员工满意度,考核评分,项目数量,每月在公司工作时间,司龄,工作事故,是否离职,五年内是否升职,部门,薪水
0.11,0.97,6,310,4,0,1,0,accounting,medium
0.36,0.52,2,143,3,0,1,0,accounting,medium
0.36,0.54,2,153,3,0,1,0,accounting,medium
0.1,0.79,7,310,4,0,1,0,hr,medium
0.4,0.47,2,136,3,0,1,0,hr,medium
0.81,0.85,4,251,6,0,1,0,hr,medium
0.4,0.47,2,144,3,0,1,0,hr,medium
0.09,0.93,6,296,4,0,1,0,technical,medium
0.76,0.89,5,238,5,0,1,0,technical,high
0.73,0.93,5,162,4,0,1,0,technical,low
0.38,0.49,2,137,3,0,1,0,technical,medium
0.72,0.84,5,257,5,0,1,0,technical,medium
0.4,0.56,2,148,3,0,1,0,technical,medium
0.91,0.99,5,254,5,0,1,0,technical,medium
0.85,0.85,4,247,6,0,1,0,technical,low
0.9,0.7,5,206,4,0,1,0,technical,low
0.46,0.55,2,145,3,0,1,0,technical,low
0.43,0.57,2,159,3,1,1,0,technical,low
0.89,0.88,5,228,5,1,1,0,support,low
0.09,0.81,6,257,4,0,1,0,support,low
0.4,0.48,2,155,3,0,1,0,support,low
0.76,0.83,6,293,6,0,1,0,support,low
0.4,0.57,2,151,3,0,1,0,support,low
0.37,0.48,2,160,3,0,1,0,support,low
0.37,0.53,2,143,3,0,1,0,support,low
0.11,0.96,6,280,4,0,1,0,support,low
0.37,0.52,2,158,3,0,1,0,support,low
0.09,0.89,7,310,4,0,1,0,support,low
0.88,0.86,5,258,5,0,1,0,support,low
0.84,0.94,5,262,5,0,1,0,technical,low
0.1,0.98,6,265,4,0,1,0,technical,low
0.41,0.47,2,143,3,1,1,0,technical,low
0.84,0.91,5,232,6,0,1,0,management,low
0.41,0.55,2,161,3,0,1,0,IT,low
0.53,0.76,5,132,6,0,1,0,IT,low
0.42,0.47,2,139,3,1,1,0,IT,medium
0.36,0.5,2,131,3,0,1,0,IT,medium
0.38,0.52,2,161,3,0,1,0,IT,medium
0.36,0.48,2,152,3,0,1,0,product_mng,medium
0.46,0.54,2,138,3,0,1,0,product_mng,medium
0.37,0.47,2,159,3,1,1,0,product_mng,medium
0.42,0.49,2,153,3,0,1,0,product_mng,medium
0.44,0.56,2,156,3,0,1,0,IT,medium
0.92,0.82,5,265,5,0,1,0,RandD,medium
0.1,0.79,6,301,5,0,1,0,RandD,medium
0.76,1,4,220,6,0,1,0,RandD,medium
0.11,0.79,6,247,4,0,1,0,RandD,medium
0.43,0.48,2,136,3,0,1,0,RandD,high
0.4,0.49,2,160,3,0,1,0,marketing,low
0.11,0.84,7,310,4,0,1,0,sales,medium
0.84,0.82,5,240,5,0,1,0,accounting,medium
0.84,0.84,5,238,5,0,1,0,support,medium
0.51,0.6,7,243,5,0,1,0,technical,medium
0.66,0.91,5,248,4,0,1,0,management,low
0.42,0.56,2,137,3,0,1,0,marketing,low
0.38,0.49,2,155,3,0,1,0,marketing,low
0.15,0.63,7,229,3,0,1,0,marketing,low
0.38,0.53,2,140,3,0,1,0,sales,low
0.43,0.54,2,156,3,0,1,0,sales,low
0.37,0.57,2,147,3,0,1,0,sales,low
0.11,0.92,7,293,4,0,1,0,sales,low
0.41,0.53,2,157,3,0,1,0,sales,low
0.84,0.96,4,247,5,0,1,0,sales,low
0.4,0.51,2,148,3,0,1,0,sales,low
0.58,0.74,4,215,3,0,0,0,sales,low
0.82,0.67,2,202,3,0,0,0,sales,low
0.45,0.69,5,193,3,0,0,0,sales,low
0.78,0.82,5,247,3,0,0,0,sales,low
0.49,0.6,3,214,2,0,0,0,sales,low
0.36,0.95,3,206,4,0,0,0,sales,low
0.54,0.37,2,176,2,0,0,0,sales,low
0.99,0.91,5,136,4,0,0,0,sales,low
0.5,0.75,6,127,3,0,0,0,sales,low
0.74,0.64,4,268,3,0,0,0,sales,low
0.56,0.58,4,258,3,0,0,0,sales,medium
0.34,0.39,2,136,3,0,0,0,sales,medium
0.48,0.94,5,255,6,0,0,0,accounting,medium
0.73,0.62,3,218,3,0,0,0,accounting,medium
0.59,0.87,3,268,4,0,0,0,accounting,medium
0.81,0.57,3,224,2,0,0,0,hr,medium
0.9,0.66,3,231,3,0,0,0,hr,medium
0.41,0.84,6,191,6,0,0,0,hr,medium
0.89,0.92,4,165,5,0,0,0,hr,medium
0.48,0.84,4,252,3,0,0,0,technical,medium
0.79,0.97,5,266,2,0,0,0,technical,medium
0.98,0.66,5,248,3,0,0,0,technical,medium
0.75,0.7,4,144,4,0,0,0,technical,high
1,0.41,4,174,3,0,0,0,technical,low
0.24,0.82,5,179,6,0,0,0,technical,medium
0.84,0.43,6,246,4,0,0,0,technical,medium
0.56,0.86,4,201,3,1,0,0,technical,medium
0.92,0.93,4,208,3,0,0,0,technical,medium
0.61,0.98,3,267,3,0,0,0,technical,low
0.84,0.77,4,262,4,0,0,0,technical,low
0.85,0.59,3,235,3,0,0,0,support,low
0.67,0.57,2,160,4,0,0,0,support,low
0.54,0.94,4,267,4,0,0,0,support,low
0.75,0.56,5,175,4,0,0,0,support,low
0.82,0.79,4,224,2,0,0,0,support,low
0.76,0.6,4,177,2,0,0,0,support,low
0.19,0.53,6,191,4,0,0,0,support,low
0.61,0.41,3,138,3,0,0,0,support,low
0.51,0.8,3,218,2,1,0,0,support,low
0.52,0.88,3,179,2,1,0,0,support,low
0.74,0.58,3,241,3,0,0,0,support,low
0.98,0.91,4,240,3,0,0,0,technical,low
0.71,0.92,3,202,4,0,0,0,technical,low
0.33,0.88,6,260,3,0,0,0,technical,low
0.98,0.97,3,196,3,0,0,0,management,low
0.52,0.59,2,176,3,1,0,0,IT,low
0.84,0.65,2,140,3,0,0,0,IT,low
0.87,0.5,3,242,2,0,0,0,IT,low
0.48,0.85,3,279,4,0,0,0,IT,low
0.58,0.55,4,202,3,0,0,0,IT,medium
0.58,0.84,5,228,3,0,0,0,product_mng,medium
0.73,0.69,4,171,3,0,0,0,product_mng,medium
0.68,0.54,4,153,3,0,0,0,product_mng,medium
0.41,0.68,3,165,3,1,0,0,product_mng,medium
0.85,0.6,3,182,3,0,0,0,IT,medium
0.54,0.7,5,239,5,0,0,0,RandD,medium
0.81,0.61,5,231,2,0,0,0,RandD,medium
0.7,0.52,4,255,3,0,0,0,RandD,medium
0.63,0.66,4,237,2,1,0,0,RandD,medium
0.68,0.54,3,251,2,0,0,0,RandD,medium
0.7,0.53,4,178,2,0,0,0,marketing,medium
0.82,0.65,4,148,3,0,0,0,sales,high
0.72,0.94,4,240,4,0,0,0,accounting,low
0.77,0.78,3,269,3,0,0,0,support,medium
0.86,0.91,4,147,3,0,0,0,technical,medium
0.15,0.97,3,198,5,0,0,0,management,medium
0.81,0.99,5,143,3,0,0,0,marketing,medium
0.93,0.98,3,238,2,0,0,0,marketing,low
0.62,0.74,4,213,4,0,0,0,marketing,low
0.53,0.81,3,226,3,1,0,0,sales,low
0.86,0.99,3,169,2,1,0,0,sales,low
0.92,0.65,4,238,2,0,0,0,sales,low
0.97,0.83,4,202,3,0,0,0,sales,low
0.39,0.78,2,205,6,1,0,0,sales,low
0.45,0.66,3,111,4,0,0,0,sales,low
0.41,0.47,4,104,3,0,0,0,sales,low
0.51,0.69,3,212,3,0,0,0,sales,low
0.74,0.62,4,236,4,0,0,0,sales,low
0.69,0.57,5,245,2,1,0,0,sales,low
0.84,0.64,4,267,4,0,0,0,sales,low
0.69,0.66,5,106,5,0,0,0,sales,low
0.93,0.53,5,198,3,0,0,0,sales,low
0.33,0.45,6,239,3,0,0,0,sales,low
0.25,0.65,5,220,3,0,0,0,sales,low
0.63,0.59,5,224,3,0,0,0,sales,low
0.81,0.62,3,100,3,0,0,0,sales,low
0.12,0.87,4,244,5,0,0,0,sales,low
0.52,0.66,4,139,3,0,0,0,sales,low
0.57,0.51,2,152,2,0,0,0,accounting,medium
0.84,0.58,4,208,3,0,0,0,accounting,medium
0.6,0.95,5,205,3,0,0,0,accounting,medium
0.73,0.44,2,194,6,0,0,0,hr,medium
0.2,0.58,3,209,5,0,0,0,hr,medium
0.58,0.9,3,212,3,0,0,0,hr,medium
0.48,0.56,2,151,3,0,0,0,hr,medium
0.54,0.67,4,282,6,0,0,0,technical,medium
0.86,1,4,256,3,0,0,0,technical,medium
0.94,0.83,2,185,3,1,0,0,technical,medium
0.76,0.74,5,132,3,0,0,0,technical,medium
0.61,0.95,5,233,3,0,0,0,technical,medium
0.56,0.94,4,215,2,0,0,0,technical,high
1,0.74,3,220,4,0,0,0,technical,low
0.15,0.53,6,222,3,0,0,0,technical,medium
0.19,0.58,5,182,2,0,0,0,technical,medium
0.17,0.73,5,258,4,0,0,0,technical,medium
0.71,0.57,3,209,2,0,0,0,technical,medium
0.86,0.79,3,242,2,0,0,0,support,low
0.59,0.88,4,155,3,1,0,0,support,low
0.74,0.76,5,104,4,0,0,0,support,low
0.98,0.92,4,201,3,1,0,0,support,low
0.93,0.75,5,143,3,0,0,0,support,low
1,0.92,5,161,3,1,0,0,support,low
0.59,0.81,4,200,2,0,0,0,support,low
0.98,0.55,4,255,2,0,0,0,support,low
0.35,0.5,5,227,2,0,0,0,support,low
0.42,0.96,3,270,6,0,0,0,support,low
0.61,0.85,5,230,3,0,0,0,support,low
0.78,0.72,5,270,3,1,0,0,technical,low
0.93,0.52,4,200,3,0,0,0,technical,low
0.5,0.95,5,207,3,0,0,0,technical,low
0.67,0.51,5,182,3,0,0,0,management,low
0.75,0.85,4,234,3,0,0,0,IT,low
0.79,0.51,4,237,2,0,0,0,IT,low
0.84,0.89,4,187,2,1,0,0,IT,low
0.72,0.5,3,257,6,0,0,0,IT,low
0.57,0.48,2,194,2,0,0,0,IT,low
0.73,0.52,4,162,3,0,0,0,product_mng,low
0.74,0.58,4,148,2,0,0,0,product_mng,medium
0.52,0.83,4,210,2,0,0,0,product_mng,medium
0.56,0.76,3,213,2,1,0,0,product_mng,medium
0.76,0.68,4,189,2,1,0,0,IT,medium
0.82,0.93,4,185,2,0,0,0,RandD,medium
0.76,0.83,3,186,2,1,0,0,RandD,medium
0.62,0.59,3,128,3,0,0,0,RandD,medium
0.48,0.8,4,268,3,0,0,0,RandD,medium
0.64,0.77,3,213,3,1,0,0,RandD,medium
0.74,0.82,4,142,2,0,0,0,marketing,medium
0.52,0.43,2,199,2,0,0,0,sales,medium
0.67,0.5,4,157,2,0,0,0,accounting,medium
0.71,0.76,5,172,2,1,0,0,support,high
0.72,0.63,3,176,3,1,0,0,technical,low
0.33,0.58,2,183,2,0,0,0,management,medium
0.91,0.56,4,270,2,0,0,0,marketing,medium
0.88,0.68,5,157,4,1,0,0,marketing,medium
0.96,0.6,4,185,3,0,0,0,marketing,medium
0.97,0.68,3,167,3,0,0,0,sales,low
0.27,0.59,5,226,5,0,0,0,sales,low
0.65,0.64,3,223,4,0,0,0,sales,low
0.68,0.73,3,257,3,0,0,0,sales,low
0.68,0.46,4,143,3,0,0,0,sales,low
0.69,0.74,3,215,2,0,0,0,sales,low
0.79,0.99,3,194,4,0,0,0,sales,low
0.74,0.92,5,193,3,0,0,0,sales,low
0.8,0.83,3,163,3,0,0,0,sales,low
0.38,0.94,5,252,5,0,0,0,sales,low
0.26,0.83,3,168,3,0,0,0,sales,low
0.81,0.86,3,231,3,0,0,0,sales,low
0.67,0.54,2,141,2,0,0,0,sales,low
0.55,0.81,4,260,2,0,0,0,sales,low
0.87,0.71,3,132,2,0,0,0,sales,low
0.46,0.69,2,159,2,0,0,0,sales,low
0.63,0.57,4,177,3,1,0,0,sales,low
0.54,0.96,4,248,3,0,0,0,sales,low
1,0.49,3,185,2,0,0,0,sales,low
0.97,0.66,4,149,2,0,0,0,accounting,low
0.9,0.92,3,152,3,0,0,0,accounting,low
0.75,0.7,3,129,3,0,0,0,accounting,medium
0.92,0.84,4,208,2,0,0,0,hr,medium
0.8,0.94,4,136,2,0,0,0,hr,medium
0.57,0.81,3,142,2,0,0,0,hr,medium
0.81,0.94,3,225,4,0,0,0,hr,medium
0.64,0.6,3,143,3,0,0,0,technical,medium
0.71,0.54,4,215,3,0,0,0,technical,medium
0.35,0.58,3,229,6,1,0,0,technical,medium
0.88,0.81,5,193,5,0,0,0,technical,medium
0.13,0.59,5,160,5,0,0,0,technical,medium
0.82,0.73,4,195,5,1,0,0,technical,medium
0.17,0.92,4,189,2,0,0,0,technical,medium
0.21,0.82,4,207,5,0,0,0,technical,high
0.89,0.47,4,108,3,0,0,0,technical,low
0.2,0.72,6,224,4,0,0,0,technical,medium
0.99,0.81,5,180,3,1,0,0,technical,medium
0.26,0.85,6,152,4,0,0,0,support,medium
0.22,0.53,4,244,2,0,0,0,support,medium
0.79,0.84,3,176,3,0,0,0,support,low
0.73,0.79,4,145,2,1,0,0,support,low
0.83,0.54,3,149,3,0,0,0,support,low
0.42,0.54,3,122,4,0,0,0,support,low
0.18,0.8,2,110,5,0,0,0,support,low
0.92,0.91,4,222,2,0,0,0,support,low
0.87,0.52,3,237,3,0,0,0,support,low
0.72,0.65,4,224,3,0,0,0,support,low
0.64,0.58,5,115,5,0,0,0,support,low
1,0.66,4,180,3,0,0,0,technical,low
0.83,0.65,4,162,3,0,0,0,technical,low
0.98,0.58,4,136,3,0,0,0,technical,low
0.7,0.87,3,260,2,0,0,0,management,low
0.9,0.79,4,150,2,0,0,0,IT,low
0.55,0.99,4,248,3,0,0,0,IT,low
0.78,0.84,3,233,3,1,0,0,IT,low
0.89,0.53,5,272,3,0,0,0,IT,low
0.17,0.59,3,197,5,0,0,0,IT,low
0.14,0.64,5,164,5,0,0,0,product_mng,low
0.85,0.57,4,216,2,0,0,0,product_mng,low
0.84,0.79,4,266,3,1,0,0,product_mng,low
0.7,0.69,3,102,4,1,0,0,product_mng,medium
0.16,0.98,5,284,5,0,0,0,IT,medium
0.51,0.69,3,145,2,1,0,0,RandD,medium
0.6,0.89,3,167,4,0,0,0,RandD,medium
0.5,0.63,3,172,2,0,0,0,RandD,medium
0.43,0.39,5,198,5,0,0,0,RandD,medium
0.5,0.7,4,201,4,0,0,0,RandD,medium
0.91,0.89,4,197,4,0,0,0,marketing,medium
0.65,0.93,4,270,2,0,0,0,sales,medium
0.59,0.52,2,149,3,0,0,0,accounting,medium
0.89,0.56,3,256,3,0,0,0,support,medium
0.97,0.6,3,162,3,0,0,0,technical,medium
0.56,0.97,5,163,2,0,0,0,management,high
0.76,0.93,3,266,3,1,0,0,marketing,low
0.28,0.55,4,208,4,0,0,0,marketing,medium
0.75,0.51,4,138,4,0,0,0,marketing,medium
0.78,0.81,4,232,3,0,0,0,sales,medium
0.26,0.63,6,100,4,0,0,0,sales,medium
0.53,0.72,2,172,5,0,0,0,sales,low
0.25,0.41,3,133,6,1,0,0,sales,low
0.82,0.51,3,234,3,0,0,0,sales,low
0.71,0.57,2,183,4,0,0,0,sales,low
0.61,0.95,4,174,4,0,0,0,sales,low
0.89,0.68,3,175,2,0,0,0,sales,low
0.57,0.78,3,109,3,1,0,0,sales,low
0.93,0.8,4,248,3,0,0,0,sales,low
0.61,0.84,5,104,4,0,0,0,sales,low
0.56,0.62,3,154,2,0,0,0,sales,low
0.7,0.89,6,214,2,0,0,0,sales,low
0.9,0.64,4,209,4,0,0,0,sales,low
0.15,0.74,6,212,2,0,0,0,sales,low
0.39,0.36,3,168,3,1,0,0,sales,low
0.74,0.72,4,176,3,0,0,0,sales,low
0.7,0.61,4,163,4,1,0,0,sales,low
0.72,0.93,4,148,2,0,0,0,sales,low
0.61,0.97,3,137,3,0,0,0,accounting,low
0.96,1,5,162,3,0,0,0,accounting,low
0.7,0.59,4,216,3,0,0,0,accounting,low
0.92,0.49,3,240,2,0,0,0,hr,low
0.72,0.56,4,176,2,0,0,0,hr,medium
0.53,0.75,6,192,6,0,0,0,hr,medium
0.67,0.85,3,160,4,0,0,0,hr,medium
0.78,0.8,4,194,2,1,0,0,technical,medium
0.53,0.75,4,239,2,1,0,0,technical,medium
0.9,0.48,4,204,3,0,0,0,technical,medium
0.16,0.9,5,258,3,0,0,0,technical,medium
0.62,0.38,3,257,3,0,0,0,technical,medium
0.62,0.98,4,137,3,0,0,0,technical,medium
0.22,0.52,6,175,4,0,0,0,technical,medium
0.91,0.82,3,183,3,0,0,0,technical,medium
0.87,0.74,4,190,4,0,0,0,technical,medium
0.95,0.69,3,225,2,0,0,0,technical,high
0.99,0.75,3,215,3,0,0,0,technical,low
0.99,0.57,3,176,4,1,0,0,support,medium
0.77,0.99,4,153,3,1,0,0,support,medium
0.75,0.68,3,150,2,1,0,0,support,medium
0.83,0.54,4,259,5,0,0,0,support,medium
0.61,0.39,3,99,2,0,0,0,support,low
0.91,0.97,3,167,2,0,0,0,support,low
0.47,0.64,3,192,3,0,0,0,support,low
0.77,0.61,5,146,3,0,0,0,support,low
0.55,0.51,3,190,3,0,0,0,support,low
0.32,0.48,5,246,3,0,0,0,support,low
0.96,0.67,6,190,3,0,0,0,support,low
0.72,0.79,5,260,2,0,0,0,technical,low
0.8,0.9,4,136,3,0,0,0,technical,low
0.61,0.55,4,231,3,0,0,0,technical,low
0.97,0.88,3,204,2,0,0,0,management,low
0.63,0.93,4,201,3,0,0,0,IT,low
0.92,0.92,3,159,3,0,0,0,IT,low
0.94,0.74,5,171,3,0,0,0,IT,low
0.79,0.72,6,240,4,0,0,0,IT,low
0.75,0.73,2,152,4,0,0,0,IT,low
0.78,0.99,3,151,3,1,0,0,product_mng,low
0.96,0.45,6,232,2,1,0,0,product_mng,low
0.65,0.68,4,128,5,0,0,0,product_mng,low
0.18,0.94,3,187,6,1,0,0,product_mng,low
0.94,0.51,3,160,2,0,0,0,IT,low
0.84,0.79,4,259,3,0,0,0,RandD,medium
0.67,0.54,2,136,2,0,0,0,RandD,medium
0.71,0.5,4,253,3,0,0,0,RandD,medium
0.56,0.64,3,260,3,0,0,0,RandD,medium
0.29,0.56,5,231,6,0,0,0,RandD,medium
0.47,0.9,3,101,2,1,0,0,marketing,medium
0.4,0.69,2,174,3,0,0,0,sales,medium
0.81,0.82,4,167,2,0,0,0,accounting,medium
0.96,0.99,3,148,3,0,0,0,support,medium
0.99,0.75,6,139,5,1,0,0,technical,medium
0.75,0.77,4,136,3,0,0,0,management,medium
0.75,0.74,4,153,2,0,0,0,marketing,medium
1,0.86,4,161,2,0,0,0,marketing,high
0.52,0.53,2,163,2,0,0,0,marketing,low
0.98,0.74,3,164,3,0,0,0,sales,medium
0.6,0.64,2,137,5,0,0,0,sales,medium
0.38,0.44,3,137,3,0,0,0,sales,medium
0.51,0.41,6,106,5,0,0,0,sales,medium
0.91,0.61,2,272,2,0,0,0,sales,low
0.56,0.62,5,238,3,0,0,0,sales,low
0.58,0.69,4,223,4,0,0,0,sales,low
0.51,0.53,3,201,2,0,0,0,sales,low
0.91,0.55,6,97,4,0,0,0,sales,low
0.8,0.98,2,232,6,1,0,0,sales,low
0.55,0.83,4,199,3,0,0,0,sales,low
0.62,0.53,3,141,3,0,0,0,sales,low
0.62,0.6,3,171,2,0,0,0,sales,low
0.87,0.58,4,212,3,0,0,0,sales,low
0.65,0.5,5,270,2,0,0,0,sales,low
0.51,0.64,3,267,2,0,0,0,sales,low
0.98,0.77,3,134,2,1,0,0,sales,low
0.13,0.43,4,165,5,0,0,0,sales,low
0.78,0.76,5,168,4,1,0,0,sales,low
0.6,0.98,3,262,2,0,0,0,accounting,low
0.68,0.69,3,185,2,0,0,0,accounting,low
0.55,0.84,3,237,3,0,0,0,accounting,low
0.99,0.79,4,192,3,0,0,0,hr,low
0.92,0.68,5,236,2,0,0,0,hr,low
1,0.65,4,202,4,1,0,0,hr,low
0.77,0.93,4,171,2,0,0,0,hr,medium
0.86,0.7,5,160,3,0,0,0,technical,medium
0.89,0.84,2,252,3,0,0,0,technical,medium
0.58,0.55,5,206,3,0,0,0,technical,medium
0.56,0.66,3,212,2,0,0,0,technical,medium
0.38,0.64,3,111,3,0,0,0,technical,medium
0.62,0.64,3,240,2,0,0,0,technical,medium
0.66,0.77,2,171,2,0,0,0,technical,medium
0.3,0.44,3,129,2,0,0,0,technical,medium
0.82,0.83,3,271,2,0,0,0,technical,medium
0.96,0.68,4,162,2,0,0,0,technical,medium
0.66,0.95,3,191,3,0,0,0,technical,medium
0.79,0.5,5,176,3,0,0,0,support,high
0.97,0.77,3,182,2,1,0,0,support,low
0.59,0.65,3,226,3,0,0,0,support,medium
0.57,0.48,4,161,3,0,0,0,support,medium
0.64,0.53,4,163,3,0,0,0,support,medium
0.14,0.51,5,173,4,0,0,0,support,medium
0.48,0.55,3,228,2,0,0,0,support,low
0.78,1,3,139,3,0,0,0,support,low
0.96,0.62,5,128,5,0,0,0,support,low
0.82,0.97,3,115,2,1,0,0,support,low
0.94,0.9,5,191,4,0,0,0,support,low
0.95,0.66,4,183,3,0,0,0,technical,low
0.59,0.43,3,173,3,0,0,0,technical,low
0.69,0.89,4,174,2,0,0,0,technical,low
0.74,0.72,3,213,3,0,0,0,management,low
0.67,0.67,4,192,4,0,0,0,IT,low
0.83,0.52,3,167,2,1,0,0,IT,low
0.81,0.85,3,263,3,1,0,0,IT,low
0.54,0.73,2,100,3,0,0,0,IT,low
0.89,0.83,3,164,3,0,0,0,IT,low
0.79,0.74,5,172,2,0,0,0,product_mng,low
0.46,0.58,4,171,3,0,0,0,product_mng,low
0.99,0.93,4,236,3,0,0,0,product_mng,low
0.75,0.9,5,186,4,0,0,0,product_mng,low
0.93,0.82,4,175,3,0,0,0,IT,low
0.65,0.6,5,227,3,0,0,0,RandD,low
0.19,0.63,4,142,6,0,0,0,RandD,low
0.48,0.61,2,121,2,0,0,0,RandD,medium
0.95,0.64,5,234,3,0,0,0,RandD,medium
0.92,0.77,4,185,3,0,0,0,RandD,medium
0.84,0.54,4,160,3,0,0,0,marketing,medium
0.37,0.63,4,153,3,1,0,0,sales,medium
0.22,0.74,3,199,6,0,0,0,accounting,medium
0.64,0.54,3,166,2,0,0,0,support,medium
0.72,0.88,2,247,3,0,0,0,technical,medium
0.48,0.69,4,245,3,0,0,0,management,medium
0.12,0.55,5,242,4,0,0,0,marketing,medium
0.78,0.98,5,158,2,0,0,0,marketing,medium
0.71,0.74,3,163,3,1,0,0,marketing,medium
0.38,0.69,3,99,3,1,0,0,sales,high
0.57,0.85,4,164,3,0,0,0,sales,low
0.72,0.51,3,160,3,0,0,0,sales,medium
0.6,0.57,2,184,3,0,0,0,sales,medium
0.61,0.55,5,266,2,0,0,0,sales,medium
0.67,0.64,4,190,2,0,0,0,sales,medium
0.97,0.97,5,192,2,0,0,0,sales,low
0.22,0.6,3,205,6,1,0,0,sales,low
0.15,0.53,4,205,5,1,0,0,sales,low
0.6,0.6,3,258,3,0,0,0,sales,low
0.15,0.8,5,151,2,1,0,0,sales,low
0.5,0.81,3,148,2,0,0,0,sales,low
0.9,0.67,3,179,2,0,0,0,sales,low
0.84,0.51,6,141,2,1,0,0,sales,low
0.74,0.78,5,216,2,0,0,0,sales,low
0.72,0.51,3,235,2,0,0,0,sales,low
0.93,0.63,3,160,4,1,0,0,sales,low
0.54,0.69,3,141,4,0,0,0,sales,low
