store_id,city,channel,gender_group,age_group,wkd_ind,product,customer,revenue,order,quant,unit_cost,unit_price
479,深圳,线下,Female,50-54,Weekday,当季新品,2,252,2,4,59,63
796,深圳,线下,Female,35-39,Weekend,T恤,1,99,1,1,49,99
605,成都,线下,Female,>=60,Weekday,T恤,2,237,2,3,49,79
19,南京,线下,Male,>=60,Weekday,运动,1,149,1,1,49,149
135,上海,线下,Male,>=60,Weekday,毛衣,2,747,3,3,99,249
142,上海,线下,Female,25-29,Weekday,配件,1,99,1,1,29,99
28,武汉,线上,Female,25-29,Weekday,当季新品,1,79,1,1,59,79
616,成都,线下,Male,>=60,Weekday,牛仔裤,1,59,1,1,69,59
98,成都,线下,Male,20-24,Weekday,T恤,2,231,2,3,49,77
208,重庆,线下,Female,35-39,Weekday,T恤,1,59,1,1,49,59
255,杭州,线下,Male,>=60,Weekend,牛仔裤,1,59,1,1,69,59
19,南京,线下,Female,45-49,Weekend,短裤,1,40,1,1,19,40
70,深圳,线下,Female,45-49,Weekday,短裤,2,71,2,2,19,36
98,成都,线下,Female,55-59,Weekday,牛仔裤,1,199,1,1,69,199
50,武汉,线上,Female,25-29,Weekday,配件,3,695,4,5,29,139
480,重庆,线下,Male,>=60,Weekday,短裤,2,72,2,2,19,36
360,成都,线下,Male,20-24,Weekend,T恤,1,99,1,1,49,99
759,重庆,线下,Male,30-34,Weekday,毛衣,1,249,1,1,99,249
46,武汉,线下,Male,20-24,Weekend,短裤,2,70,2,2,19,35
360,成都,线下,Male,30-34,Weekend,牛仔裤,1,199,1,1,69,199
449,武汉,线下,Female,55-59,Weekend,袜子,1,49,1,1,9,49
420,广州,线上,Male,30-34,Weekday,T恤,1,79,1,1,49,79
669,重庆,线下,Female,30-34,Weekday,运动,1,39,1,1,49,39
182,广州,线上,Female,40-44,Weekday,短裤,1,40,1,1,19,40
758,杭州,线下,Female,50-54,Weekend,袜子,1,19,1,1,9,19
796,深圳,线下,Female,40-44,Weekend,运动,2,78,2,2,49,39
420,广州,线上,Female,35-39,Weekend,配件,1,149,1,1,29,149
20,深圳,线下,Male,35-39,Weekday,T恤,1,99,1,1,49,99
360,成都,线下,Male,20-24,Weekday,T恤,1,149,1,1,49,149
207,上海,线上,Female,25-29,Weekday,T恤,1,99,1,1,49,99
429,西安,线下,Female,30-34,Weekend,T恤,1,99,1,1,49,99
437,重庆,线下,Male,20-24,Weekday,短裤,3,118,3,3,19,39
315,武汉,线下,Female,40-44,Weekend,当季新品,1,58,1,1,59,58
52,武汉,线上,Male,20-24,Weekend,短裤,3,106,3,3,19,35
280,深圳,线下,Male,35-39,Weekend,当季新品,1,127,1,1,59,127
70,深圳,线下,Female,<20,Weekend,T恤,1,59,1,1,49,59
611,深圳,线下,Male,25-29,Weekend,配件,1,149,1,1,29,149
429,西安,线下,Female,35-39,Weekday,T恤,2,198,2,2,49,99
248,杭州,线下,Male,<20,Weekday,T恤,1,79,1,1,49,79
479,深圳,线下,Female,<20,Weekday,T恤,2,198,2,2,49,99
231,广州,线下,Female,45-49,Weekend,T恤,1,99,1,1,49,99
325,上海,线下,Male,30-34,Weekday,T恤,1,99,1,1,49,99
98,成都,线下,Female,40-44,Weekday,T恤,2,248,2,2,49,124
146,杭州,线下,Male,<20,Weekday,T恤,1,79,1,1,49,79
70,深圳,线下,Male,30-34,Weekday,短裤,1,77,1,2,19,39
323,武汉,线下,Female,30-34,Weekday,袜子,1,59,1,3,9,20
796,深圳,线下,Male,25-29,Weekday,T恤,1,99,1,1,49,99
831,杭州,线下,Male,>=60,Weekday,T恤,1,198,1,2,49,99
208,重庆,线下,Female,20-24,Weekday,T恤,5,231,5,5,49,46
52,武汉,线上,Female,40-44,Weekend,袜子,1,39,1,2,9,20
737,深圳,线下,Male,20-24,Weekday,T恤,1,59,1,1,49,59
248,杭州,线下,Female,45-49,Weekday,T恤,1,199,1,1,49,199
148,深圳,线下,Female,30-34,Weekend,配件,1,199,1,1,29,199
20,深圳,线下,Female,25-29,Weekday,袜子,2,46,2,2,9,23
19,南京,线下,Female,25-29,Weekday,毛衣,1,249,1,1,99,249
